specObjID,objID,z,ra,dec
276352159690260480,587730845812196825,0.0311447996646166,309.79311553,-1.18042676
276352159233081344,587730845812524122,0.129105001688004,310.53285289,-1.11843344
276352159019171840,587730845812654984,0.14292000234127,310.73834212,-1.08662552
276633768163278848,587730845812720699,0.190155997872353,310.94393525,-1.20892694
276633768205221888,587730845812785849,0.17230099439621,311.0028786,-1.09552597
276633767982923776,587730845812851385,0.136557996273041,311.19113018,-1.08300672
276352159090475008,587730845812655541,0.136412993073463,310.81638771,-1.15682662
276352159908364288,587730845812195591,0.253383010625839,309.69752036,-1.20555087
276352159879004160,587730845812196092,0.0960631966590881,309.67558903,-1.21820271
276352159858032640,587730845812064684,0.165085002779961,309.42894702,-1.16963522
276352159912558592,587730845812064821,0.125692993402481,309.46777186,-1.13828257
276352160076136448,587730845812065133,0.148773998022079,309.36535805,-1.21106433
276633768167473152,587730845812720365,0.136484995484352,310.85679302,-1.0871748
276633767332806656,587730845813178803,0.0543582998216152,312.02076765,-1.10579067
276352160067747840,587730845812065247,0.0963035002350807,309.39830875,-1.08762117
276633767362166784,587730845813243927,0.0562718994915485,312.04032897,-1.21195265
276633767307640832,587730845813243962,0.151742994785309,312.04973389,-1.16027614
276633767999700992,587730845812982508,0.0564139001071453,311.44837798,-1.12871064
276633768037449728,587730845812982517,0.105518996715546,311.45810525,-1.16449151
276633767831928832,587730845812983044,0.197954997420311,311.51594516,-1.0914297
276633767840317440,587730845813048179,0.230761006474495,311.63831309,-1.23439127
276633767714488320,587730845813113564,0.0571682006120682,311.797361,-1.25806634
276633767668350976,587730845813113722,0.126884996891022,311.85700659,-1.07711536
276633768054226944,587730845812916991,0.0564355999231339,311.34531323,-1.19386687
276633767378944000,587730845813244044,0.164765000343323,312.05850438,-1.23853982
276633767869677568,587730845813048083,0.104919999837875,311.60890932,-1.06350722
276633767219560448,587730845813310436,0.0545216985046864,312.30616503,-1.13505107
276633767173423104,587730845813310771,0.219763994216919,312.3145217,-1.18609438
276633767177617408,587730845813245058,0.0580480992794037,312.18293668,-1.25852424
276633767206977536,587730845813245310,0.150492995977402,312.17401831,-1.16866595
276633767211171840,587730845813310167,0.129803001880646,312.21112931,-1.1218167
276633767001456640,587730845813375369,0.137619003653526,312.43676386,-1.19405587
276633767165034496,587730845813310172,0.200060993432999,312.21420722,-1.07707943
276633767311835136,587730845813244233,0.136158004403114,312.10900379,-1.05408109
276633767215366144,587730845813375884,0.225980997085571,312.42896793,-1.12652234
276633767160840192,587730845813310225,0.0552249997854233,312.23083404,-1.08554144
276633767320223744,587730845813244354,0.0564086996018887,312.13352968,-1.24110274
276633767328612352,587730845813244869,0.174290001392365,312.12111513,-1.13235628
276633767047593984,587730845813376023,0.073014497756958,312.47591149,-1.22431784
276633767194394624,587730845813244944,0.12975899875164,312.14726113,-1.22461872
276915144292827136,587730845813441147,0.0967596992850304,312.49309464,-1.12726099
276915144120860672,587730845813506472,0.148249998688698,312.7533401,-1.15893051
276915144104083456,587730845813572374,0.198605999350548,312.9342974,-1.06085133
276633766997262336,587730845813440638,0.0842090994119644,312.50755458,-1.22209284
276915144112472064,587730845813637771,0.05545249953866,312.96236089,-1.13276079
276915143944699904,587730845813637913,0.198006004095078,313.01049182,-1.06701768
276915144125054976,587730845813507273,0.129327997565269,312.72494025,-1.24780978
276915143940505600,587730845813637918,0.120760001242161,313.0089355,-1.14525016
276915143927922688,587730845813638078,0.0562709011137486,313.0786154,-1.24573623
276915143932116992,587730845813703062,0.109651997685432,313.10725542,-1.13219374
276915143999225856,587730845813703203,0.146127000451088,313.15365737,-1.13931541
276915143651098624,587730845813768802,0.0555502995848656,313.28347403,-1.05795641
276915143420411904,587730845813834294,0.0306864995509386,313.44296723,-1.11147579
276915143453966336,587730845813834722,0.198737993836403,313.5369022,-1.10537011
276915143298777088,587730845813899793,0.047478798776865,313.57073193,-1.24917288
276915143248445440,587730845813899851,0.201673001050949,313.59722998,-1.16154148
276915143080673280,587730845814096593,0.0850711986422539,314.06078283,-1.18066839
