# VIPERS Database
# File    : w4_spec_radec.txt.gz
# Date    : 2013-02-28 10:42
# Table   : W4_PHOT correlated with W4_SPECTRO_V3_0
# Columns : 3
# Rows    : 24858
# SQL     : SELECT W4_PHOT.alpha, W4_PHOT.delta, W4_SPECTRO_V3_0.zspec 
#           FROM W4_PHOT INNER JOIN W4_SPECTRO_V3_0 USING (num) WHERE (
#           W4_SPECTRO_V3_0.zflg >= 2)
# W4_PHOT.alpha	W4_PHOT.delta	W4_SPECTRO_V3_0.zspec
# DOUBLE	DOUBLE	FLOAT
# deg	deg	
330.245690	0.905172	0.8190
330.245453	0.952352	0.8190
330.250015	0.930643	0.7242
330.253663	0.918041	0.8143
330.254862	0.989101	0.7429
330.256511	0.909794	0.8508
330.258429	0.921771	0.8155
330.260866	0.880203	0.4771
330.260453	0.918290	0.7144
330.262831	0.880763	0.7171
330.262538	0.977001	0.7500
330.263817	0.961996	0.7057
330.266736	0.896752	0.5657
330.268486	0.931863	0.7900
330.267964	0.970113	0.6453
330.269652	0.943567	0.0000
330.270427	0.988070	0.8650
330.272578	0.892168	0.5659
330.272146	0.981985	0.7290
330.276936	0.871350	0.8169
330.276533	0.963216	0.6689
330.278395	0.882233	0.4752
330.279610	0.943492	0.5661
330.282104	0.952027	0.4456
330.287067	0.880384	0.5638
330.290898	0.874405	0.5593
330.290180	0.930416	0.5146
330.290742	0.970078	0.6410
330.293682	0.890158	0.7650
330.294738	0.948038	0.6620
330.298201	0.935598	0.4449
330.299790	0.905425	0.9957
330.302229	0.928444	0.0634
330.302487	0.986090	0.7069
330.305702	0.957015	0.5629
330.307378	0.982751	0.0000
330.309377	0.931820	0.4413
330.310740	0.960858	0.7511
330.312634	0.867347	0.0000
330.316012	0.900150	0.5634
330.317395	0.891698	0.8665
330.317775	0.946807	1.6450
330.321501	0.917267	0.7570
330.321698	0.969064	0.5649
330.324347	0.891581	0.7291
330.324508	0.956594	0.5134
330.327220	0.983899	0.0000
330.328373	0.983952	0.0000
330.331730	0.944458	0.5580
330.333764	0.876158	0.4461
330.339778	0.927312	0.8654
330.341528	0.898330	1.0298
330.341008	0.986866	0.4784
330.343595	0.920384	0.7170
330.345118	0.980944	1.0440
330.346588	0.977048	0.0000
330.353832	0.885103	0.7617
330.359500	0.872961	0.7617
330.359583	0.919097	0.7615
332.050225	1.075599	0.7320
332.052655	1.074688	0.7187
332.052940	1.119644	0.5786
332.054725	1.048361	0.8978
332.055168	1.146852	0.9851
332.056767	1.049629	0.5083
332.057774	1.157307	0.9757
332.059007	1.071296	0.5107
332.062642	1.069119	0.9129
332.065857	1.143848	0.9290
332.066602	1.038555	0.0000
332.067989	1.082894	0.4534
332.074945	1.080915	0.4403
332.076467	1.120902	0.8729
332.080036	1.104456	0.8743
332.082081	1.069263	1.0357
332.083195	1.071501	0.8710
332.083760	1.126637	0.5482
332.084753	1.059809	0.0000
332.085760	1.120399	0.8139
332.086097	1.120346	0.8300
332.087181	1.120336	0.8290
332.089771	1.106680	0.7878
332.093310	1.083581	0.0000
332.092455	1.122674	0.6099
332.094669	1.120720	0.6100
332.096556	1.114669	0.7365
332.098554	1.074591	0.6690
332.097974	1.129917	0.8311
332.100090	1.058907	1.0252
332.102118	1.089060	0.6691
332.104839	1.128698	0.5947
332.108761	1.055997	0.7792
332.108712	1.098543	0.8664
332.107059	1.154111	0.0000
332.107756	1.153720	0.5831
332.109877	1.053106	0.9424
332.111090	1.053209	0.2224
332.110759	1.159789	0.3230
332.112643	1.036922	0.4129
332.112399	1.089069	0.8730
332.112939	1.155599	0.7208
332.119501	1.118498	0.8750
332.123153	1.103246	0.7786
332.123781	1.156478	0.7459
332.126526	1.039969	0.5861
332.126067	1.116367	0.7876
332.126104	1.153700	0.7192
332.128510	1.071428	0.8657
332.128903	1.154263	0.8297
332.131329	1.107190	0.6273
332.130758	1.107213	0.0000
332.133159	1.061626	0.5540
332.134494	1.157178	0.5620
332.138300	1.117182	0.7806
332.139506	1.131868	0.7174
332.140811	1.127743	0.0000
332.143710	1.054084	0.0000
332.144319	1.102205	0.7807
332.145404	1.057517	0.4795
332.147305	1.101919	0.0000
332.147147	1.149383	0.2389
332.149322	1.156112	0.8191
332.150553	1.100981	0.4410
332.152133	1.155554	0.7183
332.155326	1.048230	0.2045
332.157473	1.048547	0.8750
332.156187	1.126970	0.8940
332.159069	1.037874	0.7657
332.160056	1.091059	0.7490
332.160259	1.142498	0.5579
331.794947	1.090799	0.5143
331.796260	1.137664	0.5180
331.799213	1.063930	0.7734
331.800957	1.046962	0.6099
331.800910	1.091819	0.9097
331.801768	1.151374	0.7991
331.806736	1.063698	0.4485
331.809903	1.141109	0.5960
331.812281	1.076833	0.0000
331.812732	1.124411	0.5038
331.814456	1.038863	0.7861
331.817119	1.042659	0.7876
331.817914	1.099238	0.6602
331.819436	1.077161	0.9830
331.823385	1.151968	0.0000
331.824154	1.151787	0.5575
331.825857	1.102855	1.1987
331.827816	1.103346	0.6307
331.830190	1.045684	0.6800
331.832387	1.051738	0.5174
331.833289	1.160978	0.7456
331.835839	1.064785	0.5595
331.836242	1.126485	0.7951
331.837423	1.055670	0.8510
331.837888	1.108710	0.3310
331.838700	1.160372	0.7880
331.841306	1.101065	0.5966
331.842578	1.110035	0.5968
331.844366	1.048525	0.2956
331.844231	1.115351	0.5950
331.846485	1.048622	0.0000
331.846239	1.088162	0.6630
331.848664	1.054809	0.6641
331.850599	1.051575	0.5622
331.852435	1.049552	0.5567
331.853335	1.149007	0.5474
331.856480	1.112790	0.8240
331.857484	1.036078	0.5470
331.858016	1.149021	0.5464
331.860492	1.038384	0.5469
